id,formattedAddress,location,rating,websiteUri,userRatingCount,displayName,primaryType
ChIJq4V9wQVzVo8RQCbcEzOvogo,"Nueva Mulsay II, 97249 Merida, Yucatan, Mexico","{'latitude': 20.9605343, 'longitude': -89.6684305}",3.9,,7.0,"{'text': 'Fer Ferretero', 'languageCode': 'es'}",hardware_store
ChIJjw3ZNxpzVo8RZfh5m8EIvPU,"C. 63 331-y 20, Juan Pablo II, 97246 Mérida, Yuc., Mexico","{'latitude': 20.9599877, 'longitude': -89.6757901}",4.3,,16.0,"{'text': 'TLAPALERÍA EL ANGELITO', 'languageCode': 'es'}",hardware_store
ChIJh-EgBQBzVo8RKRKOBuw3HfE,"Av Juan Pablo II 1078, Xoclán Susulá, 97249 Mérida, Yuc., Mexico","{'latitude': 20.9601462, 'longitude': -89.6705638}",3.0,,2.0,"{'text': 'Tlapalería El Angelito 3', 'languageCode': 'es'}",hardware_store
ChIJEz7t_BpzVo8RfKxgKDAkYQ0,"por 134 y 136, Av Juan Pablo II 1122, Xoclán Susulá, 97249 Mérida, Yuc., Mexico","{'latitude': 20.9594929, 'longitude': -89.67410369999999}",4.3,,4.0,"{'text': 'TLAPALERÍA BETO BARATO', 'languageCode': 'es'}",hardware_store
ChIJB7XqKwlzVo8RhSIarBMMt1U,"por 52 y 132, C. 63 105 A, Xoclán Canto, 97245 Mérida, Yuc., Mexico","{'latitude': 20.965573100000004, 'longitude': -89.66731329999999}",,,,"{'text': 'PAPELERÍA GAFER', 'languageCode': 'es'}",hardware_store
ChIJJ_qan6lzVo8RIe3iOC5kKCM,"C. 71ᴮ, Jardines de Nueva Mulsay ÌII, Jardines de Nueva Mulsay III, 97249 Mérida, Yuc., Mexico","{'latitude': 20.9577024, 'longitude': -89.66058249999999}",4.0,,6.0,"{'text': 'FERROTLAPALERÍA JARDINES', 'languageCode': 'es'}",hardware_store
ChIJAUyQZHxzVo8RqihuGBMQBAs,"Xoclán Reja, Xoclán, 97246 Mérida, Yuc., Mexico","{'latitude': 20.9615805, 'longitude': -89.6620985}",4.8,,4.0,"{'text': 'Ferrotlapalería 2 Hermanos', 'languageCode': 'es'}",hardware_store
ChIJjUXrLjhzVo8RwGxcN689d74,"C. 118 67c, Jardines de Nueva Mulsay II, 97249 Mérida, Yuc., Mexico","{'latitude': 20.957573399999998, 'longitude': -89.6585473}",4.6,https://www.facebook.com/people/Tlapaler%C3%ADa-Los-Nietos/100092741723682/?mibextid=ZbWKwL,5.0,"{'text': 'Tlapalería los nietos', 'languageCode': 'es'}",hardware_store
ChIJbWhNaa5zVo8RR9bNxcqXvd4,"Esq. Calle 67, C. 110, Nueva Mulsay I, 97249 Mérida, Yuc., Mexico","{'latitude': 20.957383099999998, 'longitude': -89.65496189999999}",4.5,,37.0,"{'text': 'FERROTLAPALERIA 110', 'languageCode': 'es'}",hardware_store
ChIJcei7zypzVo8R91YYL71srLA,"Av Juan Pablo II entre 118 #796L x 102 y 104, Mulsay, 97249 Mérida, Yuc., Mexico","{'latitude': 20.9632795, 'longitude': -89.65165689999999}",4.4,http://www.gruposanmartin.mx/,31.0,"{'text': 'Sandux - Grupo San Martín Xoclán', 'languageCode': 'es'}",hardware_store
ChIJ6zwMTJdxVo8RcOmChuoeZFc,"D, Calle 65A Lote 2, entre 14 y 35, Francisco I. Madero, 97240 Mérida, Yuc., Mexico","{'latitude': 20.963615, 'longitude': -89.6507934}",3.7,http://www.surpesa.com.mx/,11.0,"{'text': 'Surpesa Madero', 'languageCode': 'es'}",hardware_store
ChIJPcn4HLdzVo8R8st6YlzeH0o,"Cto. Colonias 596, Sambulá, 97259 Mérida, Yuc., Mexico","{'latitude': 20.9593564, 'longitude': -89.6471244}",4.3,,65.0,"{'text': 'FERRETERÍAS DEL NORTE SAMBULA', 'languageCode': 'es'}",hardware_store
ChIJnR3dbPhyVo8R56ZjHf7oW8U,"Calle 90 555 Esquina Calle 79 por Ave. Itzaes Colonia Sambula, Centro, 97259 Mérida, Yuc., Mexico","{'latitude': 20.9578472, 'longitude': -89.64287809999999}",3.7,http://www.gpomoal.com/,7.0,"{'text': 'Ferretería Aviación S.A. de C.V.', 'languageCode': 'es'}",hardware_store
ChIJ_8rOkrlzVo8RXrN_1O-BAes,"Circuito Colonias Por 67 y 65 A, Mulsay, 97249 Mérida, Yuc., Mexico","{'latitude': 20.963746, 'longitude': -89.6480136}",3.4,,12.0,"{'text': 'TLAPALERÍA PONIENTE', 'languageCode': 'es'}",
ChIJbUkhTshzVo8R9tQT2EYXS7c,"Av. Itzáes 603, Sambulá, 97250 Mérida, Yuc., Mexico","{'latitude': 20.959714599999998, 'longitude': -89.6422334}",4.5,http://www.knova.com.mx/,104.0,"{'text': 'Knova Merida', 'languageCode': 'en'}",hardware_store
ChIJBR1azrdzVo8RL4R8Lwe7dG0,"C. 75 643-x92 y94, Sambulá, 97259 Mérida, Yuc., Mexico","{'latitude': 20.9597566, 'longitude': -89.64478369999999}",4.4,,37.0,"{'text': ""TLAPALERÍA 'M3' S.A. de C.V."", 'languageCode': 'es'}",hardware_store
ChIJP_BUehNzVo8Rjf_wWdzRu6Y,"C. 22, Juan Pablo II, 97246 Mérida, Yuc., Mexico","{'latitude': 20.9717833, 'longitude': -89.67653639999999}",4.4,,29.0,"{'text': 'Ferretería Casa Mérida - Tlapalería', 'languageCode': 'es'}",hardware_store
ChIJE77Mlj5zVo8RaqJWLIy1f6A,"POR 32 Y 34, C. 41 465, Juan Pablo II, 97246 Mérida, Yuc., Mexico","{'latitude': 20.9693239, 'longitude': -89.6848893}",4.5,,119.0,"{'text': 'FERROTLAPALERÍA LA BODEGA', 'languageCode': 'es'}",hardware_store
ChIJ9Z30gBZzVo8RFP1L33f1yuY,"Por 24 y 26, C. 41, Juan Pablo II, 97246 Mérida, Yuc., Mexico","{'latitude': 20.968091599999997, 'longitude': -89.679197}",4.4,,10.0,"{'text': 'FERROPINTURAS Y MATERIAL PARA CONSTRUCCION', 'languageCode': 'es'}",hardware_store
ChIJV1SDAQBzVo8RvLfgMvH5dD0,"C. 32 385, Juan Pablo II, 97246 Mérida, Yuc., Mexico","{'latitude': 20.971946199999998, 'longitude': -89.68363740000001}",5.0,,1.0,"{'text': 'Ferre-hogar', 'languageCode': 'es'}",store
ChIJBcHmThNzVo8RNcj0rWY4Dwo,"C. 22 329-Por 13 y 15, Juan Pablo II, 97246 Mérida, Yuc., Mexico","{'latitude': 20.973658699999998, 'longitude': -89.6762048}",4.6,,5.0,"{'text': 'FERROTLAPALERIA La Amistad', 'languageCode': 'es'}",hardware_store
ChIJ_bAYLhVzVo8Rg3Y_JorlzBY,"por la 17 esquina, C. 28 339, Juan Pablo II, 97246 Mérida, Yuc., Mexico","{'latitude': 20.973788499999998, 'longitude': -89.6799139}",4.3,,8.0,"{'text': 'FERROHOME', 'languageCode': 'es'}",hardware_store
ChIJySERbTxzVo8RK8JEc3ycN1g,"C. 31 347, Juan Pablo II, 97246 Mérida, Yuc., Mexico","{'latitude': 20.9701383, 'longitude': -89.6778669}",5.0,,2.0,"{'text': 'Ferrotlapalería La Brocha de Oro', 'languageCode': 'es'}",hardware_store
ChIJQZRyIFtzVo8RgaAJAfGX89E,"CALLE 71B 276, Bosques de Yucalpetén, 97246 Mérida, Yuc., Mexico","{'latitude': 20.9741521, 'longitude': -89.66687379999999}",4.6,http://casa-ojeda.com/,7.0,"{'text': 'CASA OJEDA - FERRETERÍA, PLÁSTICOS Y MÁS', 'languageCode': 'es'}",hardware_store
ChIJm4dg_Q1zVo8RlJ_jT3Md9Cg,"C. 35 fraccionamiento, Mulsay, 97246 Mérida, Yuc., Mexico","{'latitude': 20.968244, 'longitude': -89.6717046}",5.0,,3.0,"{'text': 'La lijita', 'languageCode': 'fr'}",hardware_store
ChIJayGq46ZzVo8R3boOnf0UAFI,"Por la 39 y 43, C. 32ᴬ 64, Xoclán López Portillo, 97246 Mérida, Yuc., Mexico","{'latitude': 20.966141399999998, 'longitude': -89.66025189999999}",4.4,,16.0,"{'text': 'LA PAJA', 'languageCode': 'es'}",hardware_store
ChIJfwBBN6BzVo8RKkWxi2PnKtQ,"C. 71ᴰ 230, Yucalpetén, 97238 Mérida, Yuc., Mexico","{'latitude': 20.972959100000004, 'longitude': -89.66099729999999}",4.2,,14.0,"{'text': 'TLAPALERÍA JERUSALÉN', 'languageCode': 'es'}",hardware_store
ChIJAVzxpFlzVo8R2661jSrae0M,"Av Merida 2000 No. 1172 x 39, Xoclán San Manuel, 97246 Mérida, Yuc., Mexico","{'latitude': 20.9671845, 'longitude': -89.66343379999999}",4.4,https://materialeshernandez.mx/,8.0,"{'text': 'Ferretería y materiales Hernández', 'languageCode': 'es'}",hardware_store
ChIJrdxqWaJzVo8RyLDnTc6vIXk,"esq. 116, C. 61ᴬ 711B, Bojórquez, 97230 Mérida, Yuc., Mexico","{'latitude': 20.9721069, 'longitude': -89.6559091}",4.8,,20.0,"{'text': 'Ferretería EbenEzer', 'languageCode': 'es'}",hardware_store
